Time,Length
368.420025000,287
368.429764000,276
368.439634000,303
368.449752000,293
368.459882000,263
368.470240000,308
368.480359000,245
368.490480000,235
368.500722000,252
368.510966000,250
368.521460000,257
368.532203000,446
368.543196000,424
368.554065000,227
368.563309000,82
368.565183000,110
368.566932000,82
368.567931000,82
368.682362000,60
368.729707000,471
368.736206000,283
369.042642000,60
369.074998000,85
369.077746000,85
369.082618000,92
369.085242000,102
369.094648000,225
369.127719000,101
369.133215000,86
369.136085000,86
369.141833000,86
369.144705000,86
369.157946000,101
369.191183000,90
369.192803000,82
369.195050000,291
369.213038000,86
369.216911000,85
369.220284000,85
369.311229000,97
369.312612000,87
369.313602000,82
369.315725000,91
369.316980000,87
369.318044000,82
369.320597000,90
369.322845000,678
369.324602000,82
369.422547000,60
369.423912000,90
369.522475000,60
369.797682000,99
369.808675000,82
369.857021000,85
369.859894000,85
369.900371000,90
369.952596000,1434
369.952713000,1434
369.952838000,540
369.962332000,82
369.963956000,84
369.965710000,284
369.967578000,84
369.968703000,84
369.969952000,84
369.971080000,84
369.972201000,84
369.974575000,84
369.975825000,84
369.976954000,84
369.978601000,84
369.980197000,84
369.981571000,84
369.983070000,84
369.984443000,84
369.986071000,272
369.987691000,84
369.989191000,277
369.991439000,84
369.992698000,84
369.993939000,84
369.995062000,84
369.996437000,84
369.999196000,288
370.012427000,84
370.013682000,84
370.018423000,84
370.034794000,84
370.036162000,84
370.037411000,84
370.038792000,84
370.040538000,84
370.042034000,84
370.043412000,84
370.044781000,84
370.046032000,84
370.047405000,84
370.048903000,84
370.050278000,84
370.051902000,84
370.053902000,84
370.055400000,84
370.057274000,181
370.058906000,84
370.060650000,84
370.062646000,84
370.064027000,84
370.065394000,84
370.066769000,84
370.068392000,84
370.071016000,84
370.072515000,84
370.073891000,84
370.075388000,84
370.076801000,84
370.078262000,84
370.080136000,84
370.081514000,84
370.082884000,84
370.084259000,84
370.085507000,84
370.086881000,84
370.088130000,84
370.089380000,84
370.090628000,84
370.091879000,84
370.093258000,84
370.094501000,84
370.095875000,84
370.097126000,84
370.106877000,90
370.113250000,90
370.115378000,678
370.117362000,82
370.119736000,91
370.120986000,87
370.121985000,82
370.166986000,86
371.701899000,139
371.802338000,60
371.888910000,82
371.890908000,661
371.898530000,84
371.901783000,90
373.752311000,60
374.582276000,67
374.662350000,60
374.748044000,230
374.842861000,212
374.853980000,232
374.863975000,86
374.865724000,474
374.870470000,85
374.873094000,85
374.896705000,85
374.899453000,85
374.958673000,282
374.972784000,222
374.981278000,90
375.613144000,308
375.615142000,91
375.616141000,87
375.616890000,82
375.654868000,90
375.659993000,1434
375.660014000,162
375.662489000,82
375.687602000,90
375.688603000,99
375.689347000,82
375.690971000,90
375.692470000,678
375.693474000,82
375.694969000,91
375.695968000,87
375.696843000,82
375.715706000,90
377.692253000,60
378.522248000,60
381.412239000,60
381.608375000,139
381.702187000,60
381.923553000,82
381.925552000,661
382.847866000,84
382.851493000,90
384.752085000,60
385.325611000,291
385.329482000,85
385.332231000,85
385.346220000,97
385.347344000,87
385.348343000,82
385.350092000,91
385.351348000,87
385.352467000,82
385.354839000,90
385.356713000,678
385.358337000,82
385.365459000,90
385.366832000,99
385.367832000,82
387.052057000,60
387.917661000,135
387.936952000,90
387.948014000,866
387.950766000,82
387.984489000,371
387.986113000,84
387.987991000,371
387.989361000,84
387.991235000,371
387.992746000,84
387.994608000,371
387.995982000,84
387.997855000,371
387.999357000,84
399.103097000,60
406.721711000,60
409.691654000,60
411.251579000,60
412.441606000,60
412.641609000,60
412.751666000,60
414.001534000,60
416.031545000,60
419.791383000,60
421.261488000,60
422.901365000,60
423.611308000,60
428.681353000,60
433.761278000,60
434.586884000,67
434.661208000,60
435.861103000,60
437.691113000,60
438.521109000,60
441.410975000,60
443.811015000,60
444.212645000,90
444.310961000,60
444.670373000,678
444.672241000,82
444.674739000,91
444.676237000,87
444.677366000,82
444.750942000,60
448.190975000,60
459.100713000,60
466.720572000,60
469.690514000,60
471.250575000,60
472.440467000,60
472.640469000,60
472.750403000,60
473.874344000,90
473.875468000,99
473.876467000,82
473.878216000,91
473.879470000,87
473.880590000,82
476.030408000,60
479.790243000,60
481.260348000,60
482.900225000,60
483.610169000,60
488.680084000,60
493.769985000,60
494.579992000,67
494.660068000,60
495.859998000,60
497.659993000,60
497.663247000,90
497.665240000,343
497.666614000,82
497.668488000,91
497.669612000,87
497.670615000,82
498.519970000,60
501.409968000,60
503.707813000,310
503.710061000,91
503.711061000,87
503.712560000,82
503.726302000,90
503.739043000,1098
503.741917000,82
503.748794000,90
503.750287000,99
503.751287000,82
503.752911000,310
503.754664000,86
503.756783000,504
503.758407000,86
503.759661000,86
503.760780000,86
503.762030000,86
503.763279000,86
503.764403000,86
503.765683000,86
503.766911000,86
503.769525000,242
503.776146000,90
503.777771000,678
503.779398000,82
503.781143000,91
503.782393000,87
503.783392000,82
503.798633000,90
503.816122000,1434
503.816130000,560
503.819377000,82
503.820994000,84
503.829370000,604
503.831363000,139
503.832738000,293
503.834486000,84
503.836488000,604
503.838483000,139
503.839982000,272
503.841606000,84
503.843111000,84
503.845104000,604
503.847104000,139
503.848478000,84
503.849980000,262
503.851617000,84
503.853100000,84
503.855349000,604
503.857847000,139
503.859221000,291
503.861594000,84
503.871338000,604
503.873337000,139
503.874836000,295
503.876335000,84
503.877460000,84
503.878590000,84
503.879833000,84
503.881083000,84
503.882332000,84
503.883462000,84
503.884705000,84
503.885955000,84
503.887204000,84
503.888453000,84
503.898073000,604
503.900072000,139
503.901570000,252
503.903074000,84
503.905069000,604
503.906942000,139
503.908316000,287
503.909940000,84
503.912064000,604
503.913938000,139
503.915437000,290
503.917316000,84
503.926305000,604
503.928937000,139
503.931185000,84
503.932426000,84
503.934050000,84
503.935299000,84
503.936549000,84
503.938048000,84
503.939176000,84
503.940422000,84
503.941684000,84
503.943045000,84
503.944294000,84
503.945550000,84
503.947667000,604
503.949415000,139
